#{"t_start": 1686088123.466044, "env_id": null}
r,l,t
-1.934256,47,0.36717
-1.695704,24,0.462536
-1.780773,26,0.564236
-1.753708,25,0.664706
-1.641883,22,0.752647
-1.720911,24,0.836403
-1.632232,21,0.914015
-1.847119,30,1.016132
-1.436618,15,1.067959
-1.602283,20,1.139971
-13.452117,263,2.045787
-1.604047,20,2.114443
-1.91607,30,2.21555
-1.664337,22,2.287559
-3.558898,134,2.739054
-1.846536,28,2.830742
-1.684481,23,2.905876
-1.732239,24,2.989769
-1.712823,24,3.067168
-1.515113,18,3.127158
-2.103231,37,3.249078
-1.724041,24,3.344715
-1.563962,19,3.407565
-1.560536,19,3.470018
-1.909354,30,3.569462
-1.791029,26,3.665058
-1.651388,22,3.755883
-1.786286,26,3.844739
-2.229208,44,3.986447
-1.962105,33,4.090131
-1.495292,17,4.146772
-1.662332,22,4.217806
-1.724652,24,4.368234
-1.630887,21,4.440751
-2.319018,45,4.589399
-1.647025,22,4.670219
-1.794795,26,4.764157
-1.443695,15,4.813767
-2.223415,41,4.945966
-1.643372,22,5.015996
-1.664093,22,5.093652
-1.727793,24,5.183258
-1.884209,31,5.292978
-1.532625,18,5.353064
-2.595908,56,5.535084
-2.222585,41,5.670706
-1.980284,33,5.778511
-1.641473,22,5.851547
-1.720929,24,5.929996
-1.424682,15,5.982255
-2.207556,44,6.120969
-1.789994,26,6.201841
-1.897529,30,6.302492
-2.803855,67,6.521555
-1.634476,21,6.591594
-1.764738,26,6.68314
-1.675453,23,6.757385
-1.664326,22,6.900335
-1.811002,27,6.985756
-1.66683,22,7.057141
-1.716365,24,7.136635
-1.665154,22,7.208408
-1.730518,24,7.284422
-1.817941,27,7.659267
-1.650822,22,7.732341
-1.699464,24,7.916687
-1.6343,21,7.985115
-3.359818,110,8.363279
-1.861604,29,8.456725
-1.968409,36,8.578499
-2.40714,48,8.750392
-1.684293,23,8.827188
-1.890488,30,8.922901
-1.696709,23,9.002248
-1.865427,29,9.097907
-1.659498,22,9.170582
-2.04607,37,9.295859
-1.506111,17,9.351273
-1.722127,24,9.428553
-1.561972,19,9.493293
-3.614623,129,10.043177
-1.529005,18,10.103725
-1.572191,19,10.179139
-1.887467,30,10.303609
-2.228922,42,10.503006
-1.841183,28,10.630251
-1.648953,22,10.716682
-5.062161,160,11.448038
-1.750648,25,11.580738
-1.690372,23,11.681562
-1.688192,23,11.773198
-1.6274,21,11.855039
-1.731357,24,11.947612
-1.851907,28,12.05742
-1.989991,33,12.186586
-1.880612,29,12.312038
-2.309967,50,12.531181
-1.685915,23,12.64261
-1.754403,26,12.771903
-1.69166,23,12.871856
-1.721324,24,12.968328
-1.758641,25,13.066387
-1.714967,25,13.166643
-1.602846,20,13.255339
-1.667757,22,13.348568
-1.535542,18,13.418696
-1.859012,29,13.580571
-1.746928,25,13.694938
-1.598557,20,13.77574
-2.606254,60,14.09215
-1.835057,28,14.209713
-1.682402,23,14.309418
-2.365284,47,14.502158
-1.815542,27,14.611908
-1.692658,23,14.71448
-1.723231,24,14.815807
-1.666243,22,14.91123
-1.742941,25,15.0385
-1.872863,29,15.155334
-1.809792,27,15.279595
-1.625094,21,15.365249
-1.571802,19,15.438796
-1.55273,20,15.516155
-1.651679,22,15.596169
-1.90291,30,15.709909
-1.776806,26,15.811334
-1.72535,24,15.910915
-1.923219,31,16.03686
-1.87558,29,16.385247
-1.804556,27,16.481925
-1.664555,22,16.55697
-1.661782,22,16.629211
